winsize,o,m,A,B,C,tau,raw_tau
4400.0,3.9399942217912827,1.0301736332441127,2.799164601846879,-2.337105184981545e-06,7.667076879841582e-06,11227.0,7.0
1100.0,3.156750311465599,4.66449263905328,3.0462162935589223,-1.0705539727960603e-17,9.843837897752351e-18,8584.0,4.0
4400.0,3.429161862950851,1.2478983200544205,2.5721256619210195,-8.039298090372531e-06,3.5443126287834633e-06,11882.0,2.0
5500.0,3.4169285713879947,0.2543213999862644,3.225167242299355,0.039118594181965935,-0.030543781203107735,12982.0,2.0
2200.0,2.9915371800128776,0.5990300160924974,3.04515254048789,-0.00015645510132731587,-0.0005859521279785962,10123.0,3.0
6600.0,3.323329031938095,0.2999572751380156,3.300794353452746,0.02743354068561012,-0.019410023446939345,14742.0,2.0
2200.0,2.841054270532899,0.5484786525933404,3.009529329914805,-0.001961521165216617,0.0006413480972555153,10782.0,2.0
6600.0,2.983663622320208,0.2024677111351942,3.1946396097467935,0.04367095498175333,0.03979475348026707,15184.0,4.0
2200.0,2.9105676746514084,0.203469482759773,2.9924200389676012,-0.02776195167558711,0.005555614257373942,11005.0,5.0
1100.0,2.8256420440746353,2.2347766714182087,3.177309581992228,7.326832560199711e-09,2.9550345101918487e-09,10122.0,2.0
5500.0,3.4165280554101782,0.14657623940624995,1.7937510498903175,-0.3090017688347515,0.01098377661214687,14526.0,6.0
1100.0,3.0107937121812696,1.6106204880253927,3.1633416789325475,2.329116445789251e-07,6.424054801304208e-08,10344.0,4.0
1100.0,2.9941751364392055,3.2870476538660607,3.126329194312966,2.840375809006697e-12,-3.567086419139544e-12,10562.0,2.0
3300.0,3.253384030400684,3.514139328607544,3.152994842976902,-1.4291495237173224e-17,-6.110661959713166e-17,13431.0,11.0
4400.0,3.101531225614759,1.6815119123744608,3.0540652478305064,-5.833764842712349e-08,-8.00059764406744e-08,14962.0,2.0
5500.0,3.737734347965537,2.9235430373850906,3.052603466091418,-1.0011658195188403e-13,-1.249228587131858e-13,16064.0,4.0
1100.0,2.6430790629768444,0.9806874097898604,2.9107014910602733,-5.244876997342356e-05,-2.9984269884355586e-05,11884.0,4.0
3300.0,3.189785776023982,0.8076497381583988,3.1803592540013637,0.00016756732238097844,8.49416977526878e-05,14744.0,4.0
3300.0,2.80786583455038,0.38155956466007995,3.21783368765182,0.010639083703115988,-0.0037072068746113063,14962.0,2.0
5500.0,3.084525459395225,0.6912856298806928,3.113332485643767,2.7791820161407954e-05,-0.0002668733598436399,17382.0,2.0
3300.0,3.197287944100062,2.8168467845129954,2.9608794674710497,-3.905181775300624e-12,-3.412401805011638e-12,15402.0,2.0
5500.0,3.2004639516337132,0.9822417589764193,3.1773380359493317,1.7157859442680152e-05,-1.3289766858375304e-05,17822.0,2.0
6600.0,3.4047430925834115,0.6039369745749537,3.071513171158394,-0.00014720196293638714,0.000557742540210127,19142.0,2.0
3300.0,3.0405938396770673,0.2197568568942797,2.839574223176339,-0.036356248069723304,0.012160252657929908,16282.0,2.0
5500.0,2.9280305816490384,0.5586797874744942,3.177126230200384,0.0008338593039845916,0.0005912828869587558,18704.0,4.0
6600.0,3.203929799915144,1.0886287239721986,3.173176053565526,8.389058288491376e-06,-7.33599104997663e-06,20022.0,2.0
1100.0,2.82362437949501,2.7679518360970263,3.1082246861919134,-6.367260120042512e-11,-8.801775404348415e-11,15182.0,2.0
2200.0,2.9850465542421705,0.6061477397774402,3.0870994458805345,-0.00045172277435271216,0.00042535671536105663,16502.0,2.0
3300.0,3.1388874152168795,1.994378747999621,3.000448352420177,-8.588944423513294e-10,-6.49711156935295e-10,17607.0,7.0
1100.0,3.218142418593904,0.6089267612580201,3.135284037190345,0.0005430037336417299,-0.0007246103572601142,15622.0,2.0
4400.0,3.0853726210527936,0.5615996272212584,2.9476623241837068,-0.000809841339777071,-0.0001974062256092274,19807.0,7.0
4400.0,3.137942232330578,0.09753612647737724,2.774103776794049,-0.14796629167297234,-0.006586094080423851,20243.0,3.0
3300.0,2.882577171724934,0.8845635834238794,3.1378567926358625,4.213289856194816e-06,-5.674581542932397e-06,19377.0,17.0
6600.0,3.045453484037883,0.06940492278091624,2.491978812329234,-0.2935984701762237,0.026398071826530367,22886.0,6.0
5500.0,3.407860563969671,0.21149789419437734,2.839655556911227,-0.031443539738427125,0.0028089438346308696,22013.0,13.0
2200.0,3.198156452045481,1.2766437964986537,3.161651097758634,2.2852797750183612e-07,5.282646841737812e-07,18926.0,6.0
3300.0,2.936320403984878,0.7338499297317498,3.0950290911393967,-0.00018281772881003177,0.00014462693304154105,20462.0,2.0
4400.0,3.1530768756008047,1.5821916584565816,3.100857014121754,-4.647503943324587e-08,-2.63173386415528e-08,21783.0,3.0
2200.0,3.2826411322564786,4.692242088601314,3.1128398834012523,-3.564121485772667e-18,-3.3566591898313977e-18,19802.0,2.0
5500.0,2.9160370984230126,0.2569398266802883,3.073615989934061,-0.006525776045635216,0.002599740822946061,23103.0,3.0
1100.0,3.666633812243253,3.473157440848933,3.183664407940806,6.478704479778868e-15,9.195252524392522e-15,19366.0,6.0
4400.0,3.0618034539834733,4.040008115478722,3.131706109513944,-9.937922328850952e-17,-8.453315517924483e-17,23322.0,2.0
1100.0,3.371177098924574,0.9137706014332312,3.2024635482051877,-7.165325256999365e-05,-9.650611606761049e-05,20242.0,2.0
2200.0,3.680819296780093,7.4906893767264,3.1796591306017437,-2.86744826620673e-30,2.7936811625412334e-30,21564.0,4.0
3300.0,3.422010003081281,0.31467199124576106,3.0776400900031575,-0.010494586820752784,-0.003430874480857977,22663.0,3.0
4400.0,3.3958633599377155,9.532825305112821,3.1685447954019894,-1.1349837448962128e-38,1.153939453398024e-38,24422.0,2.0
1100.0,3.645820134743453,2.157892382716642,3.2589705238208055,4.19494404109748e-09,3.0606699981969257e-09,21345.0,5.0
6600.0,3.2321367133939924,10.695477589952679,3.142559428144745,-4.27124378848139e-45,4.2997856030710424e-45,26842.0,2.0
5500.0,2.1998567143187895,5.333273525230913,3.1463787781335455,-7.944128334917556e-23,-8.165477057672129e-23,26183.0,3.0
5500.0,3.366461880506957,2.9577614302643274,3.186030920622108,-9.284171269980127e-14,1.4575624423367958e-13,27283.0,3.0
4400.0,2.6835072357492944,1.4595444103220192,3.1620940534761774,6.402339715034214e-07,-6.464323519332381e-07,28162.0,2.0
3300.0,3.4242970457351576,0.35558406433241097,3.017922120750454,-0.008996339291778779,-0.0031278242633799784,28382.0,2.0
1100.0,3.511768563877372,0.7523359216157104,3.332188121647032,-4.603088428188653e-05,-7.879401007917893e-06,27291.0,11.0
